BBEID,BBEScore,BBEVote,numRatings,ratingByStars,LikedPercent
194,75174,924,229099,"['92624', '77249', '43035', '11563', '4628']",93
195,73986,856,666114,"['424628', '185746', '45991', '6772', '2977']",99
196,73812,984,188606,"['37516', '58287', '62106', '22655', '8042']",84
197,72939,904,204622,"['80334', '77232', '35106', '8559', '3391']",94
198,72855,935,263216,"['75343', '97143', '63124', '19985', '7621']",90
199,72681,956,199074,"['74002', '68845', '41480', '10786', '3961']",93
200,71281,817,772610,"['293442', '239282', '153708', '57123', '29055']",89
201,69973,846,573497,"['147981', '168422', '143086', '70499', '43509']",80
202,68575,839,146776,"['82685', '43852', '16060', '3025', '1154']",97
203,68087,780,380009,"['142337', '130391', '72669', '24158', '10454']",91
204,67970,883,381053,"['153394', '154538', '61626', '9146', '2349']",97
205,67430,787,143625,"['74761', '42286', '18018', '5392', '3168']",94
206,67387,857,271682,"['125920', '90315', '42716', '8420', '4311']",95
207,67337,826,455559,"['170309', '174662', '86580', '18109', '5899']",95
208,67007,883,144236,"['77715', '45463', '15893', '3204', '1961']",96
209,66747,828,517922,"['221261', '188588', '80678', '19396', '7999']",95
210,65836,824,802556,"['309252', '283820', '155431', '37099', '16954']",93
211,65555,769,254915,"['152433', '64589', '27052', '6894', '3947']",96
212,65554,743,684622,"['279456', '225222', '121042', '41965', '16937']",91
213,65456,758,494093,"['170700', '128528', '114206', '51230', '29429']",84
214,64365,776,219296,"['84035', '65174', '46508', '17005', '6574']",89
215,63985,657,4260,"['2189', '960', '571', '297', '243']",87
216,63964,795,325282,"['114508', '105681', '66092', '24923', '14078']",88
217,63048,775,234506,"['83400', '84635', '46117', '14156', '6198']",91
218,63046,727,231036,"['91401', '67618', '39752', '18928', '13337']",86
219,63039,801,365874,"['112432', '127023', '85583', '29249', '11587']",89
220,62933,715,892728,"['423232', '259091', '140423', '44579', '25403']",92
221,62439,837,221550,"['119375', '61083', '30637', '6794', '3661']",95
222,62004,760,2514084,"['1242565', '860651', '332103', '62368', '16397']",97
223,61758,746,624124,"['334145', '192381', '75449', '15003', '7146']",96
224,61343,684,596208,"['301873', '173268', '78886', '24966', '17215']",93
225,61129,724,260072,"['144893', '74321', '30775', '6876', '3207']",96
226,60763,718,441712,"['269059', '117323', '40766', '9169', '5395']",97
227,59800,791,62752,"['24790', '21279', '12479', '3064', '1140']",93
